2	to
sete	smiling ear to ear
sf	surfer-friendly (low-graphics web site)
shcoon	shoot hot coffee out of nose
shid	slaps head in disgust
smh	shake my head
snafu	situation normal, all fucked up
so	significant other
soho	small office home officer
sol	smilling out loud or shit out of luck
somy	sick of me yet?
sot	short on time
sotmg	short on time must go
sp	support
srsly	seriously
sry	sorry
stfu	shut the fuck up
stfw	search the fucking web
stw	search the web
su	shut up
suakm	shut up and kiss me
sup	what's up
swag	stupid wild-ass guess
swak	sealed with a kiss
swl	screaming with laughter
sys	see you soon
ta	thanks again
tafn	that's all for now
tanstaafl	there ain't no such thing as a free lunch
tb4u	too bad for you
tcoy	take care of yourself
tfh	thread from hell (a discussion that just won't die and is often irrelevant to the purpose of the forum or group)
tgif	thank god it's friday
tgif	thank goodness it’s friday
that's	that be
tho	though
thx	thanks
tia	thanks in advance
tilii	tell it like it is
tla	three-letter acronym
tlk2ul8r	talk to you later
tm	trust me
tmi	too much information
tnt	till next time
topca	til our paths cross again
toy	thinking of you
tptb	the powers that be
ttfn	ta-ta for now
ttt	thought that, too
ttyl	talk to you later
tu	thank you
ty	thank you
tyvm	thank you very much
u	you
u're	you be
uaf	until further notice
uapita	you're a pain in the ass
ur	your
uw	you're welcome
vbg	very big grin
vbseg	very big shit-eating grin
w/	with
w/o	without
w00t	what
woot	what
w8	wait
wag	wild ass guess
wat	what
wayd	what are you doing
wb	welcome back
wbs	write back soon
wdalyic	who died and left you in charge?
weg	wicked evil grin
wfm	works for me
what's	what be
wibni	wouldn't it be nice if
wt	what
wtf	what the fuck
wtfo	what the fuck! over!
wtg	way to go
wtgp?	want to go private?
wu?	what's up?
wuf?	where are you from?
wuz up	what's up
wysitwirl	what you see is totally worthless in real life!
wysiwyg	what you see is what you get
xfer	transfer
y	why
ybs	you'll be sorry
ymmv	your mileage may vary.
yo	hello
you're	you be
yw	you're welcome﻿
yr	year
﻿1337	elite
﻿<3	heart
